date, pm25, pm10, o3, no2, so2, co
2018/11/30, 120, 76, 59, 23, 5, 7
2018/12/1, 152, 71, 56, 24, 4, 7
2018/12/2, 121, 65, 41, 30, 5, 7
2018/12/3, 112, 72, 44, 40, 6, 8
2018/12/4, 122, 76, 40, 28, 5, 9
2018/12/5, 132, 61, 41, 25, 5, 8
2018/12/6, 101, 66, 22, 22, 5, 9
2018/12/7, 163, 39, 15, 16, 3, 6
2018/12/8, 100, 50, 12, 17, 3, 7
2018/12/9, 70, 59, 21, 20, 4, 8
2018/12/10, 73, 45, 29, 19, 5, 8
2018/12/11, 81, 42, 29, 18, 5, 8
2018/12/12, 71, 52, 27, 19, 5, 9
2018/12/13, 96, 56, 19, 25, 5, 9
2018/12/14, 108, 69, 43, 33, 6, 10
2018/12/15, 126, 72, 20, 26, 6, 9
2018/12/16, 145, 50, 40, 23, 5, 7
2018/12/17, 93, 73, 71, 37, 7, 7
2018/12/18, 136, 72, 51, 30, 8, 5
2018/12/19, 122, 72, 44, 34, 9, 5
2018/12/20, 132, 56, 46, 30, 9, 5
2018/12/21, 135, 70, 75, 31, 7, 6
2018/12/22, 141, 57, 29, 24, 6, 7
2018/12/23, 119, 38, 16, 19, 4, 8
2018/12/24, 77, 65, 28, 30, 6, 10
2018/12/25, 143, 77, 69, 41, 7, 10
2018/12/26, 147, 59, 40, 27, 5, 9
2018/12/27, 105, 46, 27, 16, 4, 7
2018/12/28, 81, 39, 16, 16, 5, 7
2018/12/29, 73, 56, 25, 18, 6, 8
2018/12/30, 118, , , , , 
2018/7/1, 65, 41, 31, 24, 4, 5
2018/7/2, 84, 36, 26, 20, 4, 5
2018/7/3, 72, 34, 31, 17, 4, 5
2018/7/4, 64, 30, 27, 18, 5, 5
2018/7/5, 62, 34, 35, 18, 6, 5
2018/7/6, 67, 38, 26, 25, 5, 6
2018/7/7, 83, 37, 25, 18, 5, 6
2018/7/8, 79, 28, 29, 14, 5, 5
2018/7/9, 53, 35, 49, 18, 6, 5
2018/7/10, 74, 51, 124, 22, 7, 6
2018/7/11, 110, 29, 32, 14, 5, 5
2018/7/12, 55, 21, 25, 15, 3, 6
2018/7/13, 54, 25, 23, 12, 3, 5
2018/7/14, 48, 22, 24, 13, 4, 5
2018/7/15, 53, 30, 29, 14, 5, 5
2018/7/16, 61, 45, 64, 17, 5, 6
2018/7/17, 91, 31, 26, 11, 4, 5
2018/7/18, 62, 42, 28, 13, 4, 5
2018/7/19, 57, 41, 31, 14, 4, 4
2018/7/20, 56, 54, 106, 23, 6, 5
2018/7/21, 101, 38, 43, 25, 8, 6
2018/7/22, 70, 50, 25, 17, 5, 5
2018/7/23, 73, 47, 27, 15, 4, 5
2018/7/24, 76, 41, 22, 18, 4, 5
2018/7/25, 74, 46, 29, 19, 5, 6
2018/7/26, 92, 43, 36, 19, 5, 5
2018/7/27, 75, 40, 43, 18, 6, 5
2018/7/28, 72, 43, 41, 20, 6, 6
2018/7/29, 73, 41, 31, 20, 7, 8
2018/7/30, 73, 48, 32, 20, 5, 11
2018/7/31, 74, 38, 32, 19, 5, 5
2018/8/1, 61, 42, 40, 19, 6, 5
2018/8/2, 72, 43, 27, 24, 5, 6
2018/8/3, 82, 46, 38, 23, 5, 7
2018/8/4, 88, 48, 44, 24, 7, 8
2018/8/5, 91, 56, 62, 26, 6, 7
2018/8/6, 111, 59, 57, 31, 6, 8
2018/8/7, 119, 50, 60, 20, 5, 6
2018/8/8, 100, 37, 43, 11, 5, 5
2018/8/9, 73, 26, 28, 13, 4, 5
2018/8/10, 55, 22, 24, 16, 3, 6
2018/8/11, 53, 23, 23, 15, 4, 5
2018/8/12, 59, 33, 45, 14, 4, 6
2018/8/13, 65, 29, 38, 13, 4, 6
2018/8/14, 62, 32, 39, 16, 4, 6
2018/8/15, 72, 29, 29, 18, 4, 6
2018/8/16, 65, 32, 33, 23, 4, 7
2018/8/17, 69, 47, 32, 25, 6, 10
2018/8/18, 97, 55, 53, 24, 6, 8
2018/8/19, 116, 66, 112, 30, 6, 9
2018/8/20, 139, 60, 113, 29, 5, 8
2018/8/21, 133, 68, 137, 27, 5, 8
2018/8/22, 131, 57, 116, 27, 5, 8
2018/8/23, 120, 73, 170, 31, 7, 9
2018/8/24, 141, 75, 143, 30, 8, 10
2018/8/25, 158, 63, 103, 21, 6, 9
2018/8/26, 122, 53, 85, 28, 6, 10
2018/8/27, 115, 36, 56, 29, 4, 8
2018/8/28, 87, 26, 43, 27, 4, 8
2018/8/29, 67, 41, 32, 25, 5, 8
2018/8/30, 76, 49, 34, 25, 4, 7
2018/8/31, 98, 34, 29, 20, 4, 6
2018/9/1, 75, 34, 37, 22, 6, 6
2018/9/2, 70, 37, 29, 22, 5, 6
2018/9/3, 71, 44, , 22, 5, 6
